sample,qw,qx,qy,qz
181,0.17388767,0.90359437,-0.07422027,0.38319993
182,0.17109773,0.89537024,-0.07742015,0.40264016
183,0.16921775,0.88670814,-0.08091608,0.42148137
184,0.17001994,0.87735510,-0.08563930,0.43942186
185,0.17674039,0.86768878,-0.09301257,0.45421964
186,0.23978004,0.85032344,-0.12735561,0.44982472
187,0.30384773,0.82663304,-0.16355941,0.44354135
188,0.34749880,0.79122031,-0.20245871,0.45975670
189,0.36073250,0.76064038,-0.23138458,0.48675895
190,0.39592150,0.71686411,-0.27753466,0.50152451
191,0.48638406,0.64564800,-0.35416314,0.46943158
192,0.58442211,0.55680543,-0.42712370,0.40649974
193,0.67032492,0.46206328,-0.47768694,0.32903963
194,0.73642147,0.38197529,-0.49516425,0.25673643
195,0.76654649,0.34360823,-0.49452534,0.22162841
196,0.79065073,0.31065729,-0.49047866,0.19271329
197,0.81107438,0.27952817,-0.48518416,0.16724636
198,0.82371050,0.25279117,-0.48458320,0.14877516
199,0.82707721,0.23849800,-0.48842853,0.14091904
