sample,float_qw,float_qx,float_qy,float_qz,vp_qw,vp_qx,vp_qy,vp_qz,q_l2_error,float_roll,float_pitch,float_yaw,vp_roll,vp_pitch,vp_yaw,err_roll,err_pitch,err_yaw
82,0.77282238,0.31029484,-0.51413977,0.20646530,0.77244979,0.31021586,-0.51374424,0.20644812,0.000549,43.7984,-67.3401,0.0077,43.6866,-67.1863,0.0294,0.1118,0.1538,0.0216
83,0.71892583,0.32658735,-0.55906868,0.25405085,0.71852505,0.32646444,-0.55862439,0.25393286,0.000622,48.9481,-75.8825,0.0275,48.7337,-75.5973,0.0400,0.2144,0.2852,0.0125
84,0.72120649,0.19502960,-0.64217842,0.17361493,0.72020566,0.19678189,-0.64120114,0.17544284,0.002893,30.4706,-83.7239,-0.0315,30.2412,-83.0449,0.1757,0.2294,0.6790,0.2072
85,0.74619573,-0.17262238,-0.62665045,-0.14517400,0.74595237,-0.17111041,-0.62690961,-0.14332163,0.002417,-26.0192,-80.1732,-0.1025,-25.9350,-79.8459,0.2384,0.0842,0.3274,0.3409
86,0.79457718,-0.14747226,-0.57944697,-0.10777365,0.79408979,-0.14652145,-0.57952595,-0.10644948,0.001703,-21.0109,-72.2918,-0.0684,-20.9618,-72.0983,0.1434,0.0491,0.1934,0.2118
87,0.83654571,-0.11860736,-0.53009927,-0.07539478,0.83591378,-0.11790189,-0.53010380,-0.07429191,0.001454,-16.1270,-64.7949,-0.0530,-16.0942,-64.6569,0.1070,0.0328,0.1381,0.1600
88,0.85230631,-0.10989554,-0.50770372,-0.06569265,0.85162222,-0.10929820,-0.50772238,-0.06469283,0.001351,-14.6839,-61.6275,-0.0472,-14.6590,-61.5120,0.0961,0.0249,0.1155,0.1433
89,0.86489570,-0.10036163,-0.48911059,-0.05697779,0.86417854,-0.09984992,-0.48913282,-0.05605501,0.001276,-13.2288,-59.0366,-0.0427,-13.2108,-58.9359,0.0886,0.0180,0.1007,0.1313
90,0.86794889,-0.08181565,-0.48796529,-0.04599188,0.86736751,-0.08153655,-0.48798454,-0.04541802,0.000863,-10.7758,-58.7138,0.0010,-10.7724,-58.6418,0.0870,0.0034,0.0720,0.0860
91,0.85696918,-0.04910481,-0.51245481,-0.02934770,0.85640311,-0.04885721,-0.51236212,-0.02877483,0.000848,-6.5649,-61.7872,0.0034,-6.5751,-61.6893,0.0944,0.0103,0.0979,0.0910
92,0.81524777,-0.08936110,-0.56911641,-0.06237876,0.81466144,-0.08885965,-0.56898838,-0.06153867,0.001148,-12.5257,-69.8993,0.0009,-12.5169,-69.7187,0.1418,0.0088,0.1806,0.1409
93,0.76067787,-0.18558022,-0.60469007,-0.14759903,0.76025218,-0.18448444,-0.60472000,-0.14612344,0.001887,-27.4573,-77.0924,-0.0289,-27.3600,-76.7538,0.2388,0.0973,0.3386,0.2677
94,0.63791096,-0.41180265,-0.54695964,-0.35345137,0.63827574,-0.41003817,-0.54780847,-0.35127014,0.002954,-65.7466,-81.4658,-0.1744,-65.3646,-80.8856,0.3109,0.3820,0.5802,0.4853
95,0.47226760,-0.62223047,-0.37751484,-0.49763650,0.47194797,-0.62184805,-0.37747711,-0.49704269,0.000776,-105.6472,-77.3865,-0.0607,-105.4130,-77.0253,0.0805,0.2342,0.3612,0.1412
